estado_civil,modalidad_admision,carrera,turno,genero,internacional,beca,desplazado,pagos_al_dia,nivel_educ_padre,nivel_educ_madre,ocupacion_padre,ocupacion_madre,inscritas_1er_sem,nota_1er_sem,aprobadas_1er_sem,inscritas_2do_sem,nota_2do_sem,aprobadas_2do_sem,resultado
1,1,171,1,1,0,0,1,1,2,2,1,2,0,0.0,0,0,0.0,0,Abandono
1,3,9254,1,1,0,0,1,0,3,3,1,1,6,14.0,6,6,13.666666666666666,6,Graduado
1,1,9070,1,1,0,0,1,0,2,2,3,3,6,0.0,0,6,0.0,0,Abandono
1,1,9773,1,0,0,0,1,1,2,2,3,3,6,13.428571428571429,6,6,12.4,5,Graduado
2,2,8014,0,0,0,0,0,1,2,2,3,3,6,12.333333333333334,5,6,13.0,6,Graduado
2,2,9991,0,1,0,0,0,1,2,2,3,3,5,11.857142857142858,5,5,11.5,5,Graduado
1,1,9500,1,0,0,1,1,1,2,2,3,2,7,13.3,7,8,14.345,8,Graduado
1,1,9254,1,1,0,0,1,0,2,2,3,3,5,0.0,0,5,0.0,0,Abandono
1,1,9238,1,0,1,1,0,1,3,3,1,1,6,13.875,6,6,14.142857142857142,6,Graduado
1,1,9238,1,0,0,0,1,0,2,3,2,1,6,11.4,5,6,13.5,2,Abandono
1,1,9670,1,0,0,0,1,1,2,2,2,3,6,12.333333333333334,6,6,14.2,5,Graduado
1,1,9500,1,0,0,1,1,1,2,2,3,2,8,13.214285714285714,7,8,13.214285714285714,7,Graduado
1,1,9853,1,0,0,0,1,1,2,2,3,2,6,0.0,0,6,0.0,0,Abandono
1,5,9254,1,0,0,1,1,1,3,3,1,1,6,10.571428571428571,6,6,11.0,5,Graduado
1,1,9085,1,0,0,1,1,1,2,2,3,3,5,13.25,4,5,12.0,5,Graduado
1,1,9773,1,0,0,0,1,1,2,2,3,2,6,13.2,5,6,0.0,0,Abandono
1,1,9238,1,0,0,0,1,1,2,2,3,2,6,12.0,1,6,11.0,2,Matriculado
1,1,9500,1,0,0,0,1,1,3,2,1,2,7,13.30625,7,8,14.545,8,Graduado
1,1,9130,1,0,0,0,1,1,2,3,2,1,5,12.5,4,5,12.25,4,Graduado
1,1,9853,1,0,0,0,1,1,2,2,2,2,7,11.666666666666666,6,7,13.5,6,Matriculado
1,1,171,1,0,0,1,0,1,3,3,1,1,0,0.0,0,0,0.0,0,Graduado
1,1,9556,1,0,0,0,1,1,2,3,3,1,7,11.4375,7,8,11.425,8,Matriculado
1,1,9500,1,0,0,0,1,1,2,2,2,2,8,12.857142857142858,7,8,12.857142857142858,7,Graduado
1,1,9670,1,0,0,1,1,1,2,3,3,1,6,13.375,6,6,12.285714285714286,6,Graduado
1,1,9500,1,0,0,0,0,1,2,2,2,2,7,13.296666666666669,6,8,14.114285714285714,7,Graduado
1,1,9238,1,0,0,1,1,1,2,2,3,2,6,11.6,5,6,11.0,4,Matriculado
1,1,9238,1,0,0,0,1,1,2,2,3,2,6,11.375,6,6,13.285714285714286,6,Graduado
1,1,9085,1,0,0,0,1,1,2,2,2,2,5,12.666666666666666,5,5,13.0,4,Matriculado
1,1,9147,1,0,0,0,1,1,3,2,1,2,5,12.0,5,5,12.333333333333334,5,Graduado
1,1,9500,1,1,0,0,1,1,3,3,1,1,7,12.933333333333332,6,7,13.716666666666669,6,Matriculado
1,5,9003,1,1,0,0,0,1,3,3,1,1,6,11.857142857142858,5,6,10.571428571428571,5,Matriculado
1,4,9070,1,1,0,0,1,1,3,4,1,3,6,12.833333333333334,6,6,13.4,4,Graduado
1,1,9147,1,1,0,0,0,0,3,3,1,1,5,11.333333333333334,3,5,13.5,2,Matriculado
1,1,8014,0,0,0,0,1,1,3,2,1,2,6,12.666666666666666,6,6,14.375,6,Graduado
1,1,9991,0,1,0,0,0,1,2,3,3,1,5,12.4,5,5,13.428571428571429,5,Graduado
1,2,33,1,1,0,0,0,0,2,2,3,3,7,0.0,0,7,10.0,1,Abandono
1,2,9119,1,1,0,0,1,1,2,6,3,5,5,0.0,0,5,0.0,0,Abandono
1,4,9147,1,0,0,0,0,1,2,2,3,3,5,10.0,1,5,12.0,2,Abandono
4,2,9991,0,0,0,0,1,1,2,2,2,2,5,11.0,5,5,11.6,5,Graduado
1,5,9130,1,0,1,0,0,0,3,3,1,1,6,11.666666666666666,3,6,12.0,3,Abandono
1,1,9773,1,0,0,0,0,1,3,3,1,1,6,12.75,4,5,0.0,0,Abandono
1,1,9147,1,0,0,0,1,1,2,3,2,1,5,14.8,5,5,15.8,5,Graduado
1,1,9500,1,0,0,0,1,1,3,3,1,1,7,13.928,5,8,14.342857142857142,7,Graduado
1,1,9773,1,0,0,0,0,0,2,3,3,1,6,13.0,4,6,13.8,5,Abandono
1,2,9991,0,0,0,0,0,1,2,2,3,3,5,0.0,0,5,0.0,0,Abandono
1,1,9991,0,0,0,0,0,1,2,2,3,3,5,11.5,2,5,14.333333333333334,3,Matriculado
1,1,9238,1,0,0,0,1,1,2,2,2,2,6,11.666666666666666,6,6,13.2,5,Graduado
1,1,9500,1,0,0,1,1,1,2,2,2,3,7,13.516666666666666,6,8,13.771428571428572,7,Graduado
1,5,8014,0,0,0,1,0,1,2,3,2,1,6,11.5,6,6,13.285714285714286,6,Graduado
